Día;Línea de Servicio;Hora de operación;;;;;;;;;;;;;;;;;;;;
;;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00;Total general (Número de pasajeros)
12/01/2022;LÍNEA J;1.013;2.120;1.994;1.687;1.073;798;726;612;709;639;514;506;619;539;400;264;246;119;47;1;14.626
12/01/2022;LÍNEA K;2.089;3.022;2.730;2.300;1.545;1.260;1.113;1.039;1.271;967;841;876;906;917;633;468;523;254;81;;22.835
12/01/2022;LÍNEA L;;;;;25;122;181;263;226;195;180;229;282;218;;;;;;;1.921
12/01/2022;LÍNEA M;242;693;645;507;286;265;208;231;270;279;275;395;497;750;1.000;646;365;268;178;62;8.062
12/01/2022;LÍNEA O;135;664;1.114;947;540;454;451;427;418;404;460;558;799;1.179;777;555;423;369;167;8;10.849
12/01/2022;LÍNEA P;849;1.750;1.900;1.325;753;593;526;485;580;491;488;472;534;562;363;296;283;143;75;;12.468
12/01/2022;LÍNEA T-A;1.004;2.589;3.440;2.937;1.939;1.810;1.633;1.601;1.877;1.780;1.984;2.240;3.034;4.053;3.772;2.341;1.568;1.226;871;35;41.734
13/01/2022;LÍNEA 1;2.409;6.264;8.547;7.527;4.952;4.228;3.664;3.529;3.782;3.779;4.486;4.798;6.432;8.844;6.706;3.773;2.702;2.036;1.116;38;89.612
13/01/2022;LÍNEA 2;130;599;781;779;653;644;698;853;800;782;903;1.123;1.423;1.909;1.440;944;608;342;116;1;15.528
13/01/2022;LÍNEA A;13.105;34.143;45.729;36.587;23.339;20.565;19.336;19.529;21.634;21.483;28.121;29.046;44.409;61.303;45.503;23.873;15.412;12.117;6.649;23;521.906
13/01/2022;LÍNEA B;2.527;5.702;7.005;5.969;3.994;3.535;3.413;3.143;3.671;3.296;3.817;4.147;5.700;8.333;5.895;3.305;2.263;1.756;725;7;78.203
13/01/2022;LÍNEA H;157;381;325;258;102;100;125;94;93;79;64;47;100;39;42;20;30;9;4;;2.069
13/01/2022;LÍNEA J;1.056;2.126;2.060;1.732;1.040;790;700;577;771;565;490;507;508;554;384;270;264;141;30;;14.565
13/01/2022;LÍNEA K;2.129;3.151;2.748;2.276;1.535;1.231;1.042;1.044;1.262;1.102;805;894;960;921;593;446;530;196;83;2;22.950
13/01/2022;LÍNEA L;;;;;1;157;220;181;331;250;222;196;230;220;;;;;;;2.008
13/01/2022;LÍNEA M;262;702;651;541;278;254;210;238;247;212;300;377;502;701;890;717;428;223;197;26;7.956
13/01/2022;LÍNEA O;135;647;1.099;1.027;607;478;427;408;449;437;510;534;841;1.126;724;567;397;364;140;7;10.924
13/01/2022;LÍNEA P;901;1.772;1.875;1.405;801;583;492;510;591;521;456;383;517;541;390;301;301;109;57;2;12.508
13/01/2022;LÍNEA T-A;1.011;2.574;3.492;2.942;1.904;1.656;1.733;1.716;1.810;1.741;1.936;2.314;2.965;4.057;3.625;2.203;1.628;1.119;832;28;41.286
14/01/2022;LÍNEA 1;2.358;6.188;8.657;7.707;4.856;4.145;3.750;3.681;4.063;3.828;4.713;5.077;4.920;8.016;6.721;4.261;2.852;2.308;1.395;52;89.548
14/01/2022;LÍNEA 2;135;569;818;756;634;662;747;834;824;795;944;1.137;1.336;1.518;1.462;965;603;425;187;6;15.357
14/01/2022;LÍNEA A;13.160;33.569;45.210;36.971;23.790;20.781;19.753;20.286;22.182;22.163;29.127;31.641;46.125;59.987;45.368;27.848;17.222;14.641;8.569;89;538.482
14/01/2022;LÍNEA B;2.492;5.763;7.010;6.066;3.991;3.492;3.209;3.367;3.844;3.277;3.857;4.537;5.933;8.069;5.916;3.488;2.461;1.914;1.095;18;79.799
14/01/2022;LÍNEA H;152;346;349;266;120;121;81;115;98;84;48;58;79;58;41;25;28;11;3;;2.083
14/01/2022;LÍNEA J;1.042;2.149;2.060;1.752;1.077;792;736;635;714;608;586;512;577;617;421;338;290;138;46;2;15.092
14/01/2022;LÍNEA K;2.143;2.940;2.889;2.709;1.852;1.642;1.340;1.303;1.484;1.294;996;1.012;1.071;1.013;753;513;547;281;102;2;25.886
14/01/2022;LÍNEA L;;;;;31;101;179;203;215;227;213;221;244;267;1;;;;;;1.902
14/01/2022;LÍNEA M;261;679;654;553;306;241;256;210;274;222;300;406;541;818;893;639;430;240;227;81;8.231
14/01/2022;LÍNEA O;150;697;1.082;1.012;596;469;439;398;483;436;535;554;769;1.094;744;563;401;451;207;20;11.100
14/01/2022;LÍNEA P;864;1.714;1.917;1.364;817;588;534;533;661;502;501;546;591;535;428;323;331;172;88;;13.009
14/01/2022;LÍNEA T-A;1.047;2.548;3.502;3.034;2.019;1.776;1.634;1.684;1.875;1.780;2.047;2.440;3.055;4.100;3.701;2.606;1.674;1.370;958;77;42.927
15/01/2022;LÍNEA 1;1.934;4.616;5.598;5.954;4.198;3.823;3.687;4.021;5.290;5.409;5.820;5.032;4.591;4.132;3.896;3.216;2.614;2.279;1.357;59;77.526
15/01/2022;LÍNEA 2;107;429;534;587;500;590;687;842;1.033;1.079;1.054;956;979;882;872;792;474;382;180;3;12.962
15/01/2022;LÍNEA A;10.932;24.160;28.926;27.405;20.063;18.675;18.756;21.695;32.183;35.449;37.860;31.505;29.225;27.684;26.058;21.672;15.076;14.278;8.008;74;449.684
15/01/2022;LÍNEA B;2.036;4.238;4.607;4.538;3.329;3.358;3.275;3.529;4.954;5.007;4.985;4.581;4.483;4.162;3.584;2.924;2.367;1.889;1.024;12;68.882
15/01/2022;LÍNEA H;126;272;256;209;125;124;123;97;103;91;93;70;92;63;49;41;38;43;22;3;2.040
15/01/2022;LÍNEA J;854;1.490;1.622;1.483;1.063;816;743;743;824;780;695;671;686;576;565;493;365;302;133;;14.904
15/01/2022;LÍNEA K;1.724;2.578;2.544;2.188;1.523;1.307;1.229;1.245;1.405;1.093;1.084;1.128;1.309;1.330;938;719;641;485;241;6;24.717
15/01/2022;LÍNEA L;;;;;24;278;237;335;326;273;286;354;362;477;;;;;;;2.952
15/01/2022;LÍNEA M;200;538;514;425;282;244;249;283;370;463;496;527;551;457;543;485;338;298;242;58;7.563
15/01/2022;LÍNEA O;129;507;657;712;478;441;369;398;611;614;509;538;535;564;471;393;314;381;184;10;8.815
15/01/2022;LÍNEA P;695;1.272;1.313;1.108;732;650;591;591;716;553;556;569;548;561;466;455;364;301;155;1;12.197
15/01/2022;LÍNEA T-A;850;1.967;2.512;2.410;1.820;1.595;1.625;1.825;2.406;2.497;2.665;2.704;2.474;2.367;2.360;2.011;1.530;1.471;981;91;38.161
16/01/2022;LÍNEA 1;448;1.512;1.671;1.793;1.741;1.994;2.353;2.239;2.309;2.523;2.790;2.459;2.769;2.594;2.470;2.295;2.245;1.624;254;;38.083
16/01/2022;LÍNEA 2;11;158;148;164;160;198;309;310;399;430;403;346;393;463;402;355;273;185;26;;5.133
16/01/2022;LÍNEA A;3.026;8.989;10.810;9.512;9.136;10.466;12.022;12.455;13.431;14.760;16.581;16.173;17.279;17.378;17.418;15.128;14.445;10.476;796;;230.281
